"prospect_id","priority","experiment","company","hq_country","industry","decision_maker","role","public_contact","contact_route","japan_trigger","trigger_date","trigger_source","fit_hypothesis","qualification_risk","outreach_subject","outreach_message","outreach_status","next_action","evidence_checked"
"C011","P1","E01; E02","QUDORA Technologies","Germany","Quantum computing","Amado Bautista-Salvador","CEO and Co-founder","contact@qudora.com","https://qudora.com/","Operationally launched QUDORA Japan K.K. in Tokyo and is expanding partnerships across Japan and Asia","2026-05-28","https://www.prlog.org/13148615-german-quantum-computing-firm-qudora-expands-to-japan.html","Approximately 40-person deep-tech company has a fresh Japan entity and multiple operational handoffs likely still owned by the founding team","Entity is already live; begin with E02 and test stabilization rather than selling initial readiness","What still sits with QUDORA after launching Japan K.K.?","Amado, congratulations on the operational launch of QUDORA Japan K.K. I coordinate the non-regulated work across a Japan launch after formation: professional handoffs, banking and operating dependencies, documents, ownership, and next actions. I am interviewing founders immediately after entry to learn what still sits with the executive team. Would a 20-minute debrief be useful?","Ready to send","Email Amado through the published company address; ask about unresolved post-formation work","2026-07-12"
"C012","P1","E01; E02","Gruve Tech","USA","Enterprise AI and cybersecurity","Tarun Raisoni","Co-founder and CEO","Official website contact route","https://gruve.ai/leadership/","Opened a Tokyo sales office and publicly plans another subsidiary tied to regional AI data-center activity","2026-02-01","https://www.jetro.go.jp/en/invest/newsroom/2026/61f231fe144386ca.html","Fresh office plus another planned entity creates a direct readiness opportunity across location, professional, tax, banking, and operating work","Company may already use JETRO and internal global operations; confirm founder workload and budget","A readiness map for Gruve's next Japan entity","Tarun, I saw Gruve open its Tokyo sales base and note plans for an additional regional subsidiary tied to AI infrastructure. Hajime coordinates the non-regulated operating layer across a Japan launch: the sequence, local professionals, documents, responsibilities, and next actions. Would a 20-minute comparison of the next entity plan be useful? If the scope fits, I can follow with a fixed $1,500 readiness engagement.","Ready to send","Use Gruve's official contact route and reference Tarun by name","2026-07-12"
"C013","P1","E02","KREATiS","France","Computational toxicology","Japan expansion team","Japan market owner","contact@kreatis.eu","https://www.kreatis.eu/contact","Established KREATiS Japan K.K. in Tokyo as the first step in full Asia-Pacific expansion","2026-04-01","https://www.jetro.go.jp/en/invest/newsroom/2026/2c3a01d7f25dad3f.html","Small specialist company has a new Japan subsidiary and direct experience coordinating registration, tax, labor, providers, and market entry","Named Japan decision-maker is not public; route through general contact and interview first","A short debrief on KREATiS Japan's setup","KREATiS team, I saw the April launch of KREATiS Japan K.K. as your first full Asia-Pacific base. I am interviewing recently established foreign companies about the coordination work that remained after registration, tax, and labor advisers completed their scopes. Would the person who owned the Japan setup be open to a 20-minute debrief? I will keep it factual and will not pitch until the interview is complete.","Ready to send","Email the published address and ask for the person who owned Japan setup","2026-07-12"
"C014","P1","E02","READi Robust Machine","South Korea","Industrial cleantech","Japan expansion team","Japan business owner","Official website contact route","https://www.readi.co.kr","Established a Nagoya subsidiary while running a PoC and building a customer-support operation across Aichi and Osaka","2025-05-01","https://www.jetro.go.jp/en/invest/newsroom/2026/a09f2fcb6e7f86c5.html","Small 2021 company has active customers, multiple regions, bank, tax, labor, and operational dependencies after formation","Language and contact routing may slow access to the decision-maker","Who coordinated READi's Japan launch after the advisers?","READi team, I saw your Nagoya subsidiary, active Aichi PoC, and customer discussions in Osaka. I am interviewing recent market entrants about the non-professional coordination work that remained across banking, tax, labor, customer support, and local providers. Would the executive who owned the Japan launch be open to a 20-minute debrief?","Ready to send","Use the official website contact route; request an English-language conversation with the Japan owner","2026-07-12"
"C015","P2","E02","STYL Solutions","Singapore","Payments and IoT","Japan expansion team","Japan business owner","Official website contact route","https://styl.com.sg/","Established a Yokohama subsidiary to expand Japanese transit and unattended-payment operations","2025-08-01","https://www.jetro.go.jp/en/invest/newsroom/2026/4b33111df00e72d9.html","B2B technology company has registration, tax, labor, banking, local development, and customer-support workstreams","Payments business is regulated-adjacent and may already have mature corporate support","A 20-minute debrief on STYL's Yokohama launch","STYL team, I saw the launch of your Yokohama subsidiary to expand Japanese transit and unattended-payment work. I am interviewing foreign B2B companies about the coordination work that remained after company registration, tax, labor, and banking advisers completed their parts. Would the executive who owned the Japan setup be open to a 20-minute debrief?","Ready to send","Submit through STYL's official contact route and request the Japan business owner","2026-07-12"
"C016","P2","E02","Okeanos Group","USA","Sustainable materials","Japan expansion team","Japan business owner","Official website contact route","https://madefromstone.com/","Established Okeanos Japan LLC as a Tokyo sales and marketing base for Asian expansion","2026-01-01","https://www.jetro.go.jp/en/invest/newsroom/2026/dadf0854c3f32b98.html","New entity and regional commercial role create post-formation coordination needs across sales operations, tax, banking, providers, and reporting","Company operates multiple locations and may have internal expansion capability","What remained after Okeanos Japan LLC was formed?","Okeanos team, I saw the January launch of Okeanos Japan LLC as a sales and marketing base for your Asian expansion. I am interviewing recent entrants about the operating work that remained with the business team after formation professionals completed their scopes. Would the person who owned the Japan launch be open to a 20-minute debrief?","Ready to send","Use the official company contact route and ask for the Japan launch owner","2026-07-12"
"C017","P2","E02","genOway","France","Biotechnology services","Japan expansion team","Japan business owner","Official website contact route","https://www.genoway.com/","Established genOway Japan K.K. in Tokyo to serve an existing Japanese customer base more closely","2026-02-01","https://www.jetro.go.jp/en/invest/newsroom/2026/253485e587647f7e.html","Existing revenue-backed Japan demand and a new subsidiary match the commercial trigger; post-formation handoffs may still be unresolved","Established 1999 company likely has mature finance and professional support","A factual debrief on genOway Japan K.K.","genOway team, I saw the February establishment of genOway Japan K.K. to support your existing customer base more closely. I am interviewing revenue-backed companies immediately after entry to learn which banking, tax, provider, and operating handoffs still sit with the business team. Would the executive who owned the setup be open to a 20-minute debrief?","Ready to send","Use the official company inquiry route and request the Japan launch owner","2026-07-12"
"C018","P3","E02","SourceFuse","USA and India","Cloud engineering services","Gautam Ghai","CEO and Co-founder","hello@sourcefuse.com","https://www.sourcefuse.com/","Established SourceFuse Japan K.K. in Tokyo to expand AI and cloud engineering services","2026-04-01","https://www.jetro.go.jp/en/invest/newsroom/2026/","Commercially committed B2B services company can provide strong behavioral evidence about provider coordination and operating setup","Approximately 600-person company is outside the beachhead and is unlikely to buy founder-led readiness","What SourceFuse learned setting up Japan K.K.","Gautam, I saw SourceFuse establish its Japan subsidiary this spring. I am interviewing B2B operators who have just completed that process to understand which coordination work remained with the executive team after professional providers did their parts. Would you or the person who owned the Japan setup be open to a 20-minute factual debrief? I will not pitch during the interview.","Ready to send","Email the published company address; use for E02 learning only","2026-07-12"
"C019","P1","E02","BluWave-ai","Canada","Energy optimization SaaS","Devashish Paul","CEO and Founder","Official website contact route","https://www.bluwave-ai.com/team","Established a Tokyo office to expand AI energy-optimization work in Japan","2025-01-01","https://www.jetro.go.jp/en/invest/newsroom/2026/","Founder-led B2B SaaS company with multi-million-dollar revenue and a fresh Japan office closely matches the revenue-backed trigger profile","The office may already be operational and no longer need readiness; interview can surface stabilization demand","A founder debrief on BluWave-ai's Tokyo setup","Devashish, I saw BluWave-ai establish its Tokyo office as part of its international energy-optimization expansion. I am interviewing founder-led B2B companies about the coordination work that remained after the office and professional setup were complete. Would you be open to a 20-minute factual debrief on what consumed executive time and what still needs an owner?","Ready to send","Use BluWave-ai's official contact route and request Devashish Paul","2026-07-12"
"C020","P1","E02","GENESINK","France","Printed electronics materials","Japan expansion team","Japan business owner","Official website contact route","https://genesink.com/","Established an Aichi office to support Japanese industrial partnerships and conductive-ink commercialization","2026-03-01","https://www.jetro.go.jp/en/invest/newsroom/2026/","Deep-tech company has a recent regional base and likely needs coordination across partners, office, tax, banking, and future hiring","Professional and R&D collaboration needs may outweigh general formation coordination","What GENESINK learned establishing in Aichi","GENESINK team, I saw your new Aichi office and the focus on Japanese industrial partnerships. I am interviewing recent entrants about the coordination work that stayed with the business team after incorporation and provider setup. Would the executive who owned the Japan launch be open to a 20-minute debrief? I will keep the first conversation research-only.","Ready to send","Use the official website contact route and request the Japan business owner","2026-07-12"
