"prospect_id","category","subcategory","organization","contact_name","city","coverage","languages","relevant_services","public_email","public_phone","contact_url","evidence_url","evidence_checked","source_quality","priority","outreach_status","fit_reason","personalization_note","next_action","restrictions"
"P011","Immigration","Administrative Scrivener","Japan Business Manager Visa Support Center / TOUCH","","","Japan","English; Japanese","Business Manager visa; business plans; administrative procedures; incorporation-adjacent coordination","","","https://touch.or.jp/keiei/en/administrative-scriveners/","https://touch.or.jp/keiei/en/administrative-scriveners/","2026-07-12","Official provider page","P2","Research complete","Public workflow connects formation; tax; social insurance; and immigration dependencies","Reference the Center's multi-step workflow and ask where an independent coordinator would reduce client burden","Send official inquiry after reviewing current service pages","Confirm licensed entity; contact owner; and whether the center accepts external coordinators"
"P012","Tax","Tax Attorney (Zeirishi)","Kawana International Tax & Accounting","","","Japan","English; Japanese","Company setup; tax registration; bookkeeping; annual tax filing; foreign entrepreneurs","","","https://www.kawana-kaikei.com/en/top/","https://www.kawana-kaikei.com/en/top/","2026-07-12","Official provider page","P1","Ready for outreach","English-first tax and accounting support from setup through recurring filings","Ask whether better-prepared formation clients and consolidated non-tax requests would improve onboarding","Use official contact route for partner discussion","Confirm minimum client profile; pricing model; and capacity"
"P013","Tax","Tax Attorney (Zeirishi)","Ringo Tax Corporation","","","Japan","English; Japanese","Tax; accounting; company setup; daily operations for foreign clients","","","https://ringo-japan-taxoffice.com/","https://ringo-japan-taxoffice.com/","2026-07-12","Official provider page","P1","Ready for outreach","Explicit focus on international entrepreneurs and English-speaking foreign clients","Reference recurring foreign-client work and propose structured pre-accounting handoffs","Use official contact form","Verify exact service locations; fees; and response expectations"
"P014","Tax","Accountant","Naya International Accounting Office","","","Japan","English; Japanese","Japan and US CPA services; startup advisory; accounting; internal controls; foreign companies","","","https://www.naya-cpa.com/english","https://www.naya-cpa.com/english","2026-07-12","Official provider page","P1","Ready for outreach","Japan/US CPA background and Big Four experience fit foreign-parent and funded-company prospects","Mention Hajime's target of revenue-backed founders and foreign subsidiaries requiring clean headquarters handoffs","Use published contact information on official page","Confirm tax-filing services versus CPA/advisory scope"
"P015","Tax","Tax Attorney (Zeirishi)","Nakajima Tax & Accounting Office","Shinji Nakajima","Tokyo","Japan and foreign-headquarters clients","English; Japanese","Tax; accounting; payroll coordination; foreign-based company support","shinji@nakajima-tax.jp","","https://nakajima-tax.tokyo/for-domestic-company/","https://nakajima-tax.tokyo/for-domestic-company/","2026-07-12","Official provider page","P1","Ready for outreach","Publishes direct email and describes proactive English support to foreign headquarters plus affiliated labor support","Reference the office's foreign-headquarters communication experience and ask about prepared formation referrals","Send concise personalized email","Confirm consent before storing personal contact beyond business outreach and verify current service capacity"
"P016","Tax","Accountant","Actus Group","","","Japan","English; Japanese","International tax; accounting; payroll; social insurance; HR and labor consulting","","","https://www.actus.co.jp/en/","https://www.actus.co.jp/en/","2026-07-12","Official provider page","P2","Research complete","Broader group can support tax plus employer operations for larger foreign companies","Ask about a defined foreign-SMB handoff rather than a general partnership","Use official contact route","May target larger clients; validate minimum economics before outreach"
"P017","Office","Virtual Office","Servcorp Japan","","Tokyo","32 locations across Tokyo; Yokohama; Osaka; Nagoya; Fukuoka","English; Japanese","Virtual office; business-registration address; mail; bilingual receptionist; coworking; serviced office","","+81-3-6269-3300","https://www.servcorp.co.jp/en/virtual-offices/","https://www.servcorp.co.jp/en/virtual-offices/","2026-07-12","Official provider page","P2","Qualified routing option","Multi-city premium office network aligns with Hajime's premium positioning and registration-address needs","Ask for a business-development contact and suitability criteria for foreign-owned startup registrations","Call published Japan number or use Contact Us","Address suitability must be confirmed for each customer's bank; immigration; licensing; and professional requirements"
"P018","Office","Virtual Office","SmartStart Japan","","Tokyo","Tokyo","English; Japanese","Workspace; separate virtual-office location; company setup support","","","https://smartstartjapan.com/access/","https://smartstartjapan.com/access/","2026-07-12","Official provider page","P2","Research complete","Foreign-founder-oriented workspace and virtual-office service may support early formation customers","Ask for virtual-office eligibility; evidence package; and referral contact","Use official contact route before visiting","Verify current virtual-office address; pricing; registration acceptance; and service scope"
"P019","Office","Coworking","Global Business Hub Tokyo","","Tokyo","Tokyo","English; Japanese","Furnished offices; shared workspace; business matching; foreign growth companies","","","https://www.gbh-tokyo.or.jp/en/","https://www.gbh-tokyo.or.jp/en/","2026-07-12","Official provider page","P2","Qualified routing option","Purpose-built for overseas growth companies and international ventures in a premium Otemachi location","Ask for tenant eligibility; referral process; and contact responsible for foreign-company admissions","Apply for office tour through official page","Likely selective and not suitable for low-budget founders"
"P020","Office","Coworking","Impact HUB Tokyo","","Tokyo","Tokyo","English; Japanese","Coworking; entrepreneur community; startup events","","","https://hubtokyo.com/en","https://hubtokyo.com/en","2026-07-12","Official provider page","P3","Research only","Founder community may create workspace and ecosystem value","Ask about international founder membership and whether active Japan-entry office hours fit the community","Do not outreach until a customer or hosted-validation need exists","Community fit is not evidence of registered-address suitability"
"P021","Office","Coworking","Colive Fukuoka","","Fukuoka","Fukuoka community","English; Japanese","Founder and remote-professional community; events; startup-city connections","info@colivefukuoka.com","","https://www.colivefukuoka.com/contact","https://www.colivefukuoka.com/contact","2026-07-12","Official provider page","P3","Research only","English-accessible Fukuoka founder community may support regional referrals and relocation","Reference its founder community and ask only about qualified office-hours collaboration when needed","Hold until Tokyo validation produces demand","Official page states it is a community; not a physical workspace"
"P022","Banking","Banking Introductions","Sumitomo Mitsui Banking Corporation","Transaction Business Planning Department","Tokyo","Non-Japanese corporate subsidiaries in Japan","English page; service language to verify","Corporate account inquiries for subsidiaries of non-Japanese corporations","","03-6871-0251","https://www.smbc.co.jp/global/info/global_biz_contact.html","https://www.smbc.co.jp/global/info/global_biz_contact.html","2026-07-12","Official bank page","P2","Qualified routing option","Publishes a dedicated corporate-account inquiry route for subsidiaries of non-Japanese corporations","Use only for an eligible live customer and present complete business context","Call published department for eligible customer inquiry","No approval promise; page targets multinational-company subsidiaries; verify eligibility before introduction"
"P023","Banking","Banking Introductions","Financial Market Entry Office / Japan FSA","Financial Market Entry Office","Tokyo","Foreign financial business operators","English; Japanese","Regulatory consultation; business-base establishment contact for foreign financial firms","marketentry@fsa.go.jp","+81-3-6667-0551","https://www.fsa.go.jp/en/policy/marketentry/index.html","https://www.fsa.go.jp/en/policy/marketentry/index.html","2026-07-12","Government page","P3","Public resource only","Authoritative contact for foreign asset managers; fintech; and regulated financial entrants","Route only eligible regulated prospects; do not present as a commercial partner","Keep as resource; no partnership outreach","Restricted to financial-market entry matters; not general corporate banking introduction"
"P024","Banking","Banking Introductions","JFSA Financial Start-up Support Program / weConnect Japan","","","Eligible foreign financial businesses","English; Japanese","Program-supported incorporation; licensing; bank account; visa; compliance and livelihood support","","","https://www.fsa.go.jp/internationalfinancialcenter/asset/pdf/en/our-support/start-up-support/FY2026_financial_start-up_support_program_application_en_2605r.pdf","https://www.fsa.go.jp/internationalfinancialcenter/asset/pdf/en/our-support/start-up-support/FY2026_financial_start-up_support_program_application_en_2605r.pdf","2026-07-12","Government program document","P3","Public resource only","Current official support program includes English bank-account and setup assistance for eligible financial firms","Use as an eligibility resource if a regulated financial prospect appears","No outreach until an eligible live customer exists","Strict program eligibility; not a general partner or general-market bank route"
"P025","Insurance","Insurance","Mojumdar and Company Co. Ltd.","Larry Mojumdar","Tokyo","Japan and international broker liaison","English; Japanese","Commercial non-life and life insurance; international broker liaison; global-company support","","03-3281-2119","https://mojumdar.com/en/corp.html","https://mojumdar.com/en/corp.html","2026-07-12","Official provider page","P3","Research only","Independent Japan insurance agency with long operating history and English-first global-company support","Reference its international liaison role and ask about foreign-SMB minimum profile only after insurance demand repeats","Hold until a paying customer reaches insurance handoff","Licensed advice and coverage selection remain with provider; verify product scope and compensation disclosure"
"P026","Insurance","Insurance","Japan England Insurance Brokers Limited","","London","UK-Japan cross-border","English; Japanese","Commercial insurance broking; Japanese business community; risk review","info@jeib.co.uk","+44-20-7847-8600","https://jeib.co.uk/corporate/en/","https://jeib.co.uk/corporate/en/","2026-07-12","Official provider page","P3","Research only","Bilingual UK-Japan broker may fit foreign parent companies requiring cross-border insurance coordination","Ask whether the group has a Japan placement route only after a qualified customer need","Do not outreach during first-customer sprint","UK-based and FCA-regulated; not assumed to provide Japan-local brokerage"
"P027","Payroll","Payroll","Suzuki HR & Payroll Consulting","","Tokyo","Japan; foreign companies","English; Japanese","Payroll; social insurance; labor support; coordination with tax advisers","","","https://www.suzukihr.tokyo/","https://www.suzukihr.tokyo/","2026-07-12","Official provider page","P2","Research complete","Certified labor and social-insurance consultant explicitly serving foreign companies in English","Ask about first-employee setup and prepared handoffs from formation projects","Use official contact route when employer-entity case appears","Not required for initial readiness unless hiring is a real trigger"
"P028","HR","HR","Hoshi Human Resources Consulting","","Tokyo","Japan; foreign companies","English; Japanese","Labor consulting; social and labor insurance; payroll calculation; foreign employment support","","","https://hoshi-consulting.com/en/contact_en/","https://hoshi-consulting.com/en/contact_en/","2026-07-12","Official provider page","P2","Research complete","Bilingual labor consultant office supports foreign companies and foreign employment","Reference its foreign-company specialization and ask about first-hire readiness handoffs","Use official English contact form for a live employment case","Confirm capacity and whether payroll and advisory are delivered under separate scopes"
"P029","Payroll","Payroll","Japan Management Consulting / JMC","","","Japan","English; Japanese","Payroll; social insurance; labor insurance; bilingual foreign-company support","","","https://japanconsult.com/payroll-japan/","https://japanconsult.com/payroll-japan/","2026-07-12","Official provider page","P2","Research complete","Bilingual payroll and social-insurance capability fits foreign employer launches","Ask for minimum company size; setup lead time; and coordination contact","Use official contact route after employer demand appears","Verify responsible licensed labor consultant and current pricing"
"P030","HR","HR","HTM","","Tokyo","Japan; foreign-company offices","English; Japanese","Outsourced accounting; payroll; social insurance; HR; finance administration","","","https://www.htm.co.jp/japan-services.htm","https://www.htm.co.jp/japan-services.htm","2026-07-12","Official provider page","P2","Research complete","Broad bilingual operating outsourcing may fit profitable SMBs and subsidiaries","Reference HTM's documented-process positioning and ask about launch-stage minimum scope","Hold until a larger foreign-SMB customer appears","Likely broader and higher-cost than founder clients; verify minimum engagement"
"P031","Payroll","Payroll","PwC Outsourcing Services / PwC Labor and Social Security Attorney Corporation","","","Japan","English; Japanese","Payroll; labor and social insurance; administrative outsourcing for international employers","","","https://www.pwc.com/jp/en/services/tax/outsourcing/payroll.html","https://www.pwc.com/jp/en/services/tax/outsourcing/payroll.html","2026-07-12","Official provider page","P3","Research only","Enterprise-grade bilingual payroll and labor support may fit later subsidiaries","Use only for enterprise-sized or complex employer requirements","No outreach during current validation","Likely unsuitable economics for early founder clients; verify minimum scope"
"P032","HR","HR","CrossVision International","","","Japan","English; Japanese","Bilingual social-insurance outsourcing; expatriate support; labor-consultant coordination","","","https://www.cvi.co.jp/en/professional-services/socialinsurance-outsourcing.html","https://www.cvi.co.jp/en/professional-services/socialinsurance-outsourcing.html","2026-07-12","Official provider page","P2","Research complete","Bilingual consultants and licensed labor-consultant cooperation fit foreign personnel support","Ask about new-company onboarding and handoff requirements after a live need arises","Hold until employer workflow is active","Confirm direct professional owner and boundaries for labor/social-insurance advice"
"P033","Housing","Housing (Future)","Japan Housing Co. Ltd.","Soutarou Nemoto","","Japan; foreign residents","English; Japanese","Foreign real-estate concierge; housing support for foreigners","","","https://japanhousing.jp/en/company-profile/","https://japanhousing.jp/en/company-profile/","2026-07-12","Official provider page","P4","Future only","Long-running foreigner-focused housing concierge could support future relocation cases","No outreach until three paying customers independently require housing coordination","Keep in future queue","Housing is outside current validation; verify brokerage licensing; locations; fees; and data handling before referral"
