"prospect_id","priority","experiment","company","decision_maker","send_timing","channel","subject","follow_up_message","positive_reply_action","redirect_reply_action","not_now_reply_action","negative_reply_action","status"
"C011","P1","E01; E02","QUDORA Technologies","Amado Bautista-Salvador","4 business days after initial outreach","Reply to the original email thread","Re: What still sits with QUDORA after launching Japan K.K.?","Amado, one brief follow-up after QUDORA Japan K.K.'s operational launch. I am interviewing founders about the work that remains after formation: banking and provider dependencies, ownership, documents, and launch follow-through. Would a 20-minute debrief be useful, or has that layer already been resolved inside QUDORA?","Offer two specific 20-minute meeting times within the next five business days.","Thank him and contact the named Japan owner within one business day, referencing the introduction.","Ask which operating or partnership milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C012","P1","E01; E02","Gruve Tech","Tarun Raisoni","4 business days after initial outreach","Reply through the original contact route","Re: A readiness map for Gruve's next Japan entity","Tarun, I am following up once because Gruve has already opened in Tokyo and publicly indicated another regional entity. If that next step is active, I can map the non-regulated dependencies, provider handoffs, ownership, and decisions in a fixed $1,500 readiness engagement. Would a 20-minute fit check next week be useful?","Offer two specific 20-minute meeting times within the next five business days.","Thank him and contact the named entity owner within one business day, referencing the introduction.","Ask which dated entity or infrastructure milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C013","P1","E02","KREATiS","Japan expansion team","4 business days after initial outreach","Reply to the original email thread","Re: A short debrief on KREATiS Japan's setup","KREATiS team, one final follow-up on the Tokyo launch. I am collecting factual accounts from recent foreign entrants about the coordination work that remained after professional advisers completed their scopes. Could you direct me to the person who owned the setup for a 20-minute debrief? The conversation will remain research-only until the interview is complete.","Offer two specific 20-minute meeting times within the next five business days and label the meeting as a factual debrief.","Thank them and contact the named launch owner within one business day, referencing the introduction.","Ask which post-launch milestone should trigger one future follow-up; record it and close the current sequence.","Thank them, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C014","P1","E02","READi Robust Machine","Japan expansion team","4 business days after initial outreach","Reply through the original contact route","Re: Who coordinated READi's Japan launch after the advisers?","READi team, I am following up once because your Nagoya subsidiary, Aichi PoC, and Osaka customer discussions create a useful real-world launch case. Could you direct me to the executive who coordinated the operating handoffs across local providers, banking, tax, labor, and customer support for a 20-minute factual debrief?","Offer two specific 20-minute meeting times within the next five business days and label the meeting as a factual debrief.","Thank them and contact the named launch owner within one business day, referencing the introduction.","Ask which customer or operating milestone should trigger one future follow-up; record it and close the current sequence.","Thank them, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C015","P2","E02","STYL Solutions","Japan expansion team","4 business days after initial outreach","Reply through the original contact route","Re: A 20-minute debrief on STYL's Yokohama launch","STYL team, one final note on the Yokohama launch. I am interviewing recent entrants to learn which non-regulated coordination tasks remained with the business after registration, tax, labor, and banking specialists completed their work. Could you connect me with the executive who owned the setup for a 20-minute factual debrief?","Offer two specific 20-minute meeting times within the next five business days and label the meeting as a factual debrief.","Thank them and contact the named launch owner within one business day, referencing the introduction.","Ask which transit or operating milestone should trigger one future follow-up; record it and close the current sequence.","Thank them, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C016","P2","E02","Okeanos Group","Japan expansion team","4 business days after initial outreach","Reply through the original contact route","Re: What remained after Okeanos Japan LLC was formed?","Okeanos team, I wanted to close the loop on the Tokyo sales and marketing base. I am documenting what recent entrants still had to coordinate after formation professionals completed their scopes. Could you direct me to the person who owned the Japan launch for a 20-minute factual debrief? I will not pitch during the interview.","Offer two specific 20-minute meeting times within the next five business days and label the meeting as a factual debrief.","Thank them and contact the named launch owner within one business day, referencing the introduction.","Ask which sales or regional expansion milestone should trigger one future follow-up; record it and close the current sequence.","Thank them, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C017","P2","E02","genOway","Japan expansion team","4 business days after initial outreach","Reply through the original contact route","Re: A factual debrief on genOway Japan K.K.","genOway team, one brief follow-up on the Tokyo entity. Because genOway entered with an existing Japanese customer base, your experience could clarify which banking, tax, provider, and operating handoffs still consumed business-team time. Could you connect me with the person who owned the setup for a 20-minute factual debrief?","Offer two specific 20-minute meeting times within the next five business days and label the meeting as a factual debrief.","Thank them and contact the named launch owner within one business day, referencing the introduction.","Ask which customer-support or operating milestone should trigger one future follow-up; record it and close the current sequence.","Thank them, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C018","P3","E02","SourceFuse","Gautam Ghai","4 business days after initial outreach","Reply to the original email thread","Re: What SourceFuse learned setting up Japan K.K.","Gautam, I am following up once on SourceFuse Japan K.K. I am collecting factual accounts from recent B2B entrants about the coordination work that remained with executives after formation and professional advice. Would you or the person who led the setup be open to a 20-minute debrief? I will keep the interview research-only.","Offer two specific 20-minute meeting times within the next five business days and label the meeting as a factual debrief.","Thank him and contact the named launch owner within one business day, referencing the introduction.","Ask which customer or Japan growth milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C019","P1","E02","BluWave-ai","Devashish Paul","4 business days after initial outreach","Reply through the original contact route","Re: A founder debrief on BluWave-ai's Tokyo setup","Devashish, one final note on BluWave-ai's Tokyo office. I am interviewing founder-led B2B entrants about the operating coordination that remained after local setup and professional work were complete. Would you be open to a 20-minute factual debrief on what consumed executive time and what still needs an owner?","Offer two specific 20-minute meeting times within the next five business days and label the meeting as a factual debrief.","Thank him and contact the named launch owner within one business day, referencing the introduction.","Ask which customer or energy-market milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C020","P1","E02","GENESINK","Japan expansion team","4 business days after initial outreach","Reply through the original contact route","Re: What GENESINK learned establishing in Aichi","GENESINK team, I wanted to close the loop on the Aichi office and Japanese industrial-partnership work. I am documenting what recent entrants still had to coordinate after incorporation and provider setup. Could you direct me to the executive who owned the launch for a 20-minute factual debrief? The first conversation will remain research-only.","Offer two specific 20-minute meeting times within the next five business days and label the meeting as a factual debrief.","Thank them and contact the named launch owner within one business day, referencing the introduction.","Ask which industrial partnership or commercialization milestone should trigger one future follow-up; record it and close the current sequence.","Thank them, record the stated reason verbatim, and close the sequence.","Ready after initial send"
